elapsedTimeNanoSec, speed, direction
1868130520,0.3,0.0
1872414635,0.3,0.0
1878521562,0.3,0.0
1882887760,0.3,0.0
1889036301,0.3,0.0
1893276353,0.3,0.0
1899580155,0.3,0.0
1904251666,0.3,0.0
1910055468,0.3,0.0
1914761301,0.3,0.0
1920605155,0.3,0.0
1925406249,0.3,0.0
1933888801,0.3,0.0
1935926301,0.3,0.0
1944445364,0.3,0.0
1946471353,0.3,0.0
1954908541,0.3,0.0
1957088176,0.3,0.0
1965369114,0.3,0.0
1968029062,0.3,0.0
1976948853,0.3,0.0
1978688176,0.3,0.0
1987357551,0.3,0.0
1989392655,0.3,0.0
1997796770,0.11476846039295197,0.0
2019443957,0.11476846039295197,0.0
2019963332,0.11476846039295197,0.0
2029803853,0.11476846039295197,0.0
2030404843,0.11476846039295197,0.0
2040170624,0.0021276610437780618,0.0
2065472759,0.0021276610437780618,0.0
2067039166,0.0021276610437780618,0.0
2076517655,0.0021276610437780618,0.0
2077948905,-0.0,0.0
2087508489,-0.0,0.0
2088619062,-0.0,0.0
2098491978,-0.0,0.0
2099439739,-0.0,0.0
2109099270,-0.0,0.0
2109889791,-0.0,0.0
2119818749,-0.0,0.0
2120325103,-0.0,0.0
2130313801,-0.0,0.0
2130770155,-0.0,0.0
2140876145,-0.0,0.0
2141189843,-0.0,0.0
2151333749,-0.0,0.0
2151698437,-0.0,0.0
2161822968,-0.0,0.0
2162144739,-0.0,0.0
2172293072,-0.0,0.0
2172611197,-0.0,0.0
2182870624,-0.0,0.0
2183204270,-0.0,0.0
2193520989,-0.0,0.0
2194194062,-0.0,0.0
2204408749,-0.0,0.0
2204982603,-0.0,0.0
2215668541,-0.0,0.0
2216099009,-0.0,0.0
2226531666,-0.0,0.0
2226873853,-0.0,0.0
2238324009,-0.0,0.0
2238939374,-0.0,0.0
2248643176,-0.0,0.0
2249326509,-0.0,0.0
2259000259,-0.0,0.0
2259675416,-0.0,0.0
2269446145,-0.0,0.0
2270509582,-0.0,0.0
2279809270,-0.0,0.0
2280905728,-0.0,0.0
2290133697,-0.0,0.0
2291406822,-0.0,0.0
2300562603,-0.0,0.0
